column_name,mean,median,max,min
numero_de_cliente,17374368,17417951,40073498,4566141
foto_mes,201406,201406,201406,201406
marketing_activo_ultimos90dias,0,1,1,0
cliente_vip,0,0,1,0
cliente_sucursal,374,329,1019,3
cliente_edad,42,44,109,0
cliente_antiguedad,121,109,518,1
mrentabilidad,835,597,186446,-9716
mrentabilidad_annual,8383,6553,1111428,-72579
mcomisiones,404,327,185739,-10361
mactivos_margen,63,0,72580,-19814
mpasivos_margen,311,115,103831,-6490
marketing_coss_selling,9,9,20,1
tpaquete1,1,1,1,1
tpaquete2,0,0,1,0
tpaquete3,0,0,0,0
tpaquete4,0,0,1,0
tpaquete5,0,0,0,0
tpaquete6,0,0,1,0
tpaquete7,0,0,1,0
tpaquete8,0,0,0,0
tpaquete9,0,0,1,0
tcuentas,0,1,1,0
tcuenta_corriente,0,1,1,0
mcuenta_corriente_Nopaquete,60,0,1474893,-116289
mcuenta_corriente_Paquete,974,0,6011885,-5297754
mcuenta_corriente_dolares,0,0,0,0
tcaja_ahorro,0,1,1,0
mcaja_ahorro_Paquete,16676,3855,8994716,-1110
mcaja_ahorro_Nopaquete,374,0,1515757,-1001
mcaja_ahorro_dolares,4114,0,7054755,-18789
mdescubierto_preacordado,1,1,1,0
mcuentas_saldo,27757,5203,13036090,0
ttarjeta_debito,0,1,1,0
ctarjeta_debito_transacciones,5,2,158,0
mautoservicio,2221,563,488069,0
ttarjeta_visa,0,1,1,0
ctarjeta_visa_transacciones,13,9,277,0
mtarjeta_visa_consumo,5505,3505,794178,0
ttarjeta_master,0,1,1,0
ctarjeta_master_transacciones,3,0,193,0
mtarjeta_master_consumo,1676,0,207579,0
cprestamos_personales,0,0,71,0
mprestamos_personales,13133,0,621000,0
cprestamos_prendarios,0,0,2,0
mprestamos_prendarios,1928,0,431704,0
cprestamos_hipotecarios,0,0,5,0
mprestamos_hipotecarios,4749,0,1311925,0
tplazo_fijo,0,0,1,0
mplazo_fijo_dolares,18531,0,25041285,0
mplazo_fijo_pesos,2024,0,9347134,0
tfondos_comunes_inversion,0,0,1,0
mfondos_comunes_inversion_pesos,2330,0,21974606,0
mfondos_comunes_inversion_dolares,65,0,2218748,0
ttitulos,0,0,1,0
mtitulos,10740,0,45465637,0
tseguro_vida_mercado_abierto,0,0,1,0
tseguro_auto,0,0,1,0
tseguro_vivienda,0,0,1,0
tseguro_accidentes_personales,0,0,1,0
tcaja_seguridad,0,0,1,0
mbonos_gobierno,0,0,0,0
mmonedas_extranjeras,0,0,0,0
minversiones_otras,0,0,0,0
tplan_sueldo,0,0,1,0
mplan_sueldo,12758,0,4084260,0
mplan_sueldo_manual,13,0,839387,-18975
cplan_sueldo_transaccion,0,0,2,0
tcuenta_debitos_automaticos,0,0,1,0
mcuenta_debitos_automaticos,576,0,234570,0
ttarjeta_visa_debitos_automaticos,0,1,1,0
mttarjeta_visa_debitos_automaticos,1119,335,76016,0
ttarjeta_master_debitos_automaticos,0,0,1,0
mttarjeta_master_debitos_automaticos,224,0,47864,0
tpagodeservicios,0,0,1,0
mpagodeservicios,127,0,183010,0
tpagomiscuentas,0,0,1,0
mpagomiscuentas,2216,0,3421221,0
ccajeros_propios_descuentos,2,1,105,0
mcajeros_propios_descuentos,10,0,5175,0
ctarjeta_visa_descuentos,3,1,252,0
mtarjeta_visa_descuentos,91,0,29834,0
ctarjeta_master_descuentos,0,0,122,0
mtarjeta_master_descuentos,25,0,22209,0
ccuenta_descuentos,0,0,0,0
mcuenta_descuentos,0,0,0,0
ccomisiones_mantenimiento,0,1,59,0
mcomisiones_mantenimiento,151,227,1993,0
ccomisiones_otras,7,7,243,0
mcomisiones_otras,434,349,243620,-11020
tcambio_monedas,0,0,1,0
ccambio_monedas_compra,0,0,5,0
mcambio_monedas_compra,0,0,17250,0
ccambio_monedas_venta,0,0,7,0
mcambio_monedas_venta,73,0,8648,0
ctransferencias_recibidas,0,0,13,0
mtransferencias_recibidas,25,0,201250,0
ctransferencias_emitidas,0,0,267,0
mtransferencias_emitidas,1971,0,961287,0
cextraccion_autoservicio,2,1,83,0
mextraccion_autoservicio,4133,575,176065,0
ccheques_depositados,0,0,210,0
mcheques_depositados,4116,0,14545484,0
ccheques_emitidos,0,0,262,0
mcheques_emitidos,2670,0,9641225,0
ccheques_depositados_rechazados,0,0,16,0
mcheques_depositados_rechazados,128,0,2839775,0
